consultation_id,consultant_id,customer_id,start_time,end_time,consultation_date,resolution_type,satisfaction_score
37,8,3989,2025-03-13 11:40:40,2025-03-13 12:15:40,2025-03-13,완료,4
38,12,1473,2025-07-24 13:14:06,2025-07-24 13:56:06,2025-07-24,보류,4
39,8,1898,2025-08-07 13:41:19,2025-08-07 13:50:19,2025-08-07,완료,5
40,9,1690,2025-05-30 16:08:11,2025-05-30 16:42:11,2025-05-30,반려,3
41,6,1925,2025-01-07 13:12:36,2025-01-07 13:30:36,2025-01-07,보류,4
42,15,100,2025-01-02 15:01:18,2025-01-02 15:28:18,2025-01-02,완료,4
43,13,2066,2025-06-05 14:51:11,2025-06-05 15:05:11,2025-06-05,이관,4
44,5,3260,2025-05-07 15:55:45,2025-05-07 16:19:45,2025-05-07,보류,5
45,12,1590,2025-01-07 15:55:41,2025-01-07 16:28:41,2025-01-07,보류,5
46,3,4240,2025-05-05 14:31:09,2025-05-05 14:38:09,2025-05-05,완료,4
47,2,847,2025-05-19 16:53:48,2025-05-19 17:35:48,2025-05-19,완료,5
48,2,1125,2025-01-13 14:52:17,2025-01-13 15:24:17,2025-01-13,이관,4
49,19,4511,2025-01-24 15:29:09,2025-01-24 16:03:09,2025-01-24,완료,4
50,2,157,2025-08-06 14:26:41,2025-08-06 14:39:41,2025-08-06,이관,4
51,15,1092,2025-01-02 15:00:49,2025-01-02 15:15:49,2025-01-02,반려,3
52,1,3888,2025-05-13 10:54:24,2025-05-13 11:17:24,2025-05-13,반려,4
53,12,3630,2025-07-30 14:02:20,2025-07-30 14:41:20,2025-07-30,반려,3
54,20,4907,2025-04-07 15:37:09,2025-04-07 15:44:09,2025-04-07,보류,3
55,2,1957,2025-01-23 10:47:11,2025-01-23 11:00:11,2025-01-23,보류,3
56,1,924,2025-02-24 11:36:27,2025-02-24 11:46:27,2025-02-24,보류,3
57,5,2191,2025-06-04 15:08:33,2025-06-04 15:18:33,2025-06-04,완료,3
58,8,3167,2025-06-17 16:03:30,2025-06-17 16:37:30,2025-06-17,이관,5
59,5,1355,2025-03-24 13:30:38,2025-03-24 13:43:38,2025-03-24,반려,3
60,12,4185,2025-01-27 16:43:15,2025-01-27 17:20:15,2025-01-27,보류,3
61,3,2529,2025-05-20 14:47:49,2025-05-20 15:12:49,2025-05-20,완료,5
62,15,204,2025-08-22 09:15:06,2025-08-22 09:38:06,2025-08-22,보류,3
63,14,73,2025-08-25 13:23:42,2025-08-25 13:30:42,2025-08-25,완료,4
64,10,226,2025-03-11 14:57:25,2025-03-11 15:32:25,2025-03-11,반려,5
65,4,3345,2025-05-12 09:44:41,2025-05-12 10:03:41,2025-05-12,완료,4
66,9,559,2025-03-21 16:45:10,2025-03-21 17:22:10,2025-03-21,반려,3
67,9,4101,2025-01-23 12:32:00,2025-01-23 12:40:00,2025-01-23,반려,3
68,11,4977,2025-01-07 11:16:10,2025-01-07 11:32:10,2025-01-07,반려,4
69,13,4161,2025-07-18 17:26:40,2025-07-18 17:41:40,2025-07-18,보류,5
70,1,3235,2025-05-01 16:31:40,2025-05-01 16:58:40,2025-05-01,반려,5
71,19,4144,2025-06-30 14:32:12,2025-06-30 14:38:12,2025-06-30,이관,5
72,9,3653,2025-05-28 13:18:44,2025-05-28 13:49:44,2025-05-28,보류,3
73,2,2481,2025-08-01 15:15:46,2025-08-01 15:30:46,2025-08-01,보류,4
74,2,1736,2025-01-15 14:56:50,2025-01-15 15:18:50,2025-01-15,완료,3
75,2,4452,2025-04-07 15:28:09,2025-04-07 15:59:09,2025-04-07,반려,4
76,3,1491,2025-05-16 15:09:18,2025-05-16 15:19:18,2025-05-16,반려,4
77,12,1647,2025-01-06 15:31:02,2025-01-06 16:14:02,2025-01-06,이관,5
78,4,3562,2025-07-11 14:42:46,2025-07-11 15:24:46,2025-07-11,보류,5
79,13,3262,2025-08-14 17:36:41,2025-08-14 18:14:41,2025-08-14,보류,4
80,12,2045,2025-04-28 13:42:13,2025-04-28 14:21:13,2025-04-28,보류,3
81,9,954,2025-08-15 15:00:26,2025-08-15 15:17:26,2025-08-15,완료,4
82,8,3071,2025-06-24 14:42:40,2025-06-24 15:05:40,2025-06-24,보류,5
83,9,4994,2025-02-25 15:19:42,2025-02-25 15:24:42,2025-02-25,반려,4
84,6,3522,2025-06-11 11:34:27,2025-06-11 11:39:27,2025-06-11,반려,3
85,12,520,2025-07-31 13:15:21,2025-07-31 13:27:21,2025-07-31,이관,5
86,17,1135,2025-08-15 14:44:17,2025-08-15 15:16:17,2025-08-15,완료,3
87,9,923,2025-06-04 14:43:44,2025-06-04 14:51:44,2025-06-04,보류,3
88,20,4738,2025-07-24 13:10:52,2025-07-24 13:28:52,2025-07-24,반려,4
89,12,3909,2025-03-10 14:14:44,2025-03-10 14:23:44,2025-03-10,보류,4
90,15,3712,2025-04-28 15:15:14,2025-04-28 15:31:14,2025-04-28,완료,3
91,15,2088,2025-02-26 09:24:15,2025-02-26 09:59:15,2025-02-26,이관,4
92,2,3983,2025-06-13 14:14:25,2025-06-13 14:42:25,2025-06-13,반려,4
93,7,4441,2025-02-13 14:33:08,2025-02-13 15:05:08,2025-02-13,완료,4
94,6,3625,2025-06-24 14:18:39,2025-06-24 14:45:39,2025-06-24,이관,3
95,12,1683,2025-08-07 15:47:54,2025-08-07 15:53:54,2025-08-07,이관,3
96,5,4713,2025-06-23 13:40:35,2025-06-23 13:56:35,2025-06-23,보류,5
97,15,861,2025-04-22 15:31:45,2025-04-22 15:37:45,2025-04-22,보류,4
98,5,305,2025-06-23 14:47:45,2025-06-23 15:14:45,2025-06-23,보류,5
99,20,1893,2025-06-13 14:26:02,2025-06-13 15:03:02,2025-06-13,이관,3
100,7,1181,2025-01-21 14:25:12,2025-01-21 15:09:12,2025-01-21,보류,5
101,3,882,2025-03-28 10:40:48,2025-03-28 11:06:48,2025-03-28,이관,4
102,16,659,2025-06-20 13:03:04,2025-06-20 13:35:04,2025-06-20,완료,3
103,16,4824,2025-02-27 17:05:49,2025-02-27 17:25:49,2025-02-27,이관,3
104,14,366,2025-01-28 09:01:07,2025-01-28 09:09:07,2025-01-28,완료,3
105,5,2143,2025-05-05 15:12:44,2025-05-05 15:43:44,2025-05-05,보류,3
106,6,2879,2025-05-09 12:52:16,2025-05-09 13:00:16,2025-05-09,반려,5
107,7,2200,2025-08-18 14:12:56,2025-08-18 14:47:56,2025-08-18,반려,5
108,1,4184,2025-06-18 14:53:39,2025-06-18 15:34:39,2025-06-18,반려,4
109,10,2584,2025-08-11 15:58:46,2025-08-11 16:39:46,2025-08-11,완료,4
110,5,3877,2025-04-01 13:34:26,2025-04-01 14:08:26,2025-04-01,이관,4
111,3,29,2025-08-13 14:20:28,2025-08-13 14:37:28,2025-08-13,반려,4
112,9,891,2025-02-03 14:35:47,2025-02-03 15:03:47,2025-02-03,이관,5
113,3,1493,2025-03-03 12:16:07,2025-03-03 12:40:07,2025-03-03,완료,4
114,7,2391,2025-05-09 13:26:31,2025-05-09 13:39:31,2025-05-09,보류,3
115,5,2589,2025-06-10 10:41:11,2025-06-10 10:52:11,2025-06-10,보류,5
116,2,477,2025-06-09 16:10:01,2025-06-09 16:19:01,2025-06-09,반려,5
117,12,3564,2025-04-24 15:22:32,2025-04-24 15:52:32,2025-04-24,이관,5
118,1,2630,2025-08-01 13:51:59,2025-08-01 14:02:59,2025-08-01,완료,4
119,5,4303,2025-01-07 14:32:44,2025-01-07 15:01:44,2025-01-07,보류,4
120,12,931,2025-06-03 17:36:44,2025-06-03 18:20:44,2025-06-03,이관,3
121,17,1628,2025-07-28 11:27:14,2025-07-28 11:40:14,2025-07-28,보류,5
122,2,2744,2025-04-08 14:50:22,2025-04-08 15:06:22,2025-04-08,완료,5
123,15,3647,2025-07-14 15:14:35,2025-07-14 15:40:35,2025-07-14,완료,3
124,9,2397,2025-02-14 15:27:48,2025-02-14 15:58:48,2025-02-14,이관,3
125,16,1006,2025-05-21 15:47:08,2025-05-21 16:18:08,2025-05-21,보류,3
126,12,807,2025-02-05 15:40:13,2025-02-05 15:45:13,2025-02-05,보류,5
127,1,3744,2025-04-17 14:39:52,2025-04-17 15:14:52,2025-04-17,이관,3
128,16,2831,2025-08-07 14:35:20,2025-08-07 14:56:20,2025-08-07,완료,5
129,6,2554,2025-06-27 15:48:00,2025-06-27 16:16:00,2025-06-27,이관,5
130,20,1590,2025-06-11 14:24:09,2025-06-11 14:55:09,2025-06-11,완료,3
131,1,1793,2025-01-13 14:14:26,2025-01-13 14:47:26,2025-01-13,완료,5
132,6,1540,2025-03-21 14:40:26,2025-03-21 14:59:26,2025-03-21,이관,5
133,16,4423,2025-08-14 15:21:13,2025-08-14 15:33:13,2025-08-14,이관,3
134,19,471,2025-06-05 13:32:38,2025-06-05 13:40:38,2025-06-05,보류,3
135,20,2139,2025-05-14 16:33:23,2025-05-14 16:59:23,2025-05-14,완료,4
136,11,1724,2025-07-16 14:31:15,2025-07-16 15:15:15,2025-07-16,이관,3
137,9,3420,2025-05-22 14:05:35,2025-05-22 14:40:35,2025-05-22,반려,5
138,20,297,2025-07-17 16:33:12,2025-07-17 16:57:12,2025-07-17,이관,5
139,15,3566,2025-08-07 14:23:47,2025-08-07 14:41:47,2025-08-07,이관,5
140,15,4004,2025-01-29 10:45:14,2025-01-29 11:13:14,2025-01-29,완료,3
141,1,2552,2025-01-28 16:11:59,2025-01-28 16:54:59,2025-01-28,반려,3
142,13,3739,2025-06-27 14:07:18,2025-06-27 14:34:18,2025-06-27,이관,4
143,8,290,2025-08-07 16:08:21,2025-08-07 16:17:21,2025-08-07,보류,5
144,11,1359,2025-01-31 13:26:04,2025-01-31 13:34:04,2025-01-31,완료,5
145,12,3067,2025-04-28 17:39:08,2025-04-28 18:00:08,2025-04-28,보류,4
146,13,1212,2025-02-10 13:55:39,2025-02-10 14:22:39,2025-02-10,반려,3
147,6,293,2025-02-24 15:31:20,2025-02-24 15:44:20,2025-02-24,이관,4
148,5,580,2025-03-21 13:00:50,2025-03-21 13:22:50,2025-03-21,반려,3
149,6,3337,2025-06-02 15:55:40,2025-06-02 16:15:40,2025-06-02,이관,3
150,14,746,2025-08-11 13:02:23,2025-08-11 13:28:23,2025-08-11,이관,4
151,12,1649,2025-07-22 11:47:37,2025-07-22 12:04:37,2025-07-22,보류,4
152,20,4206,2025-02-25 15:52:38,2025-02-25 16:09:38,2025-02-25,반려,3
153,17,2723,2025-08-14 12:46:06,2025-08-14 13:04:06,2025-08-14,이관,5
154,11,1480,2025-03-04 15:02:54,2025-03-04 15:08:54,2025-03-04,보류,5
155,3,1933,2025-08-22 10:01:33,2025-08-22 10:34:33,2025-08-22,반려,3
156,16,533,2025-03-28 15:24:35,2025-03-28 16:08:35,2025-03-28,완료,5
157,2,584,2025-08-22 14:45:10,2025-08-22 15:06:10,2025-08-22,완료,5
158,19,805,2025-02-07 17:07:17,2025-02-07 17:26:17,2025-02-07,완료,4
159,2,4093,2025-06-13 17:09:29,2025-06-13 17:40:29,2025-06-13,보류,4
160,18,3978,2025-06-18 14:00:09,2025-06-18 14:32:09,2025-06-18,반려,5
161,19,701,2025-06-30 13:06:14,2025-06-30 13:11:14,2025-06-30,이관,5
162,10,3795,2025-06-17 10:47:36,2025-06-17 11:20:36,2025-06-17,완료,4
163,4,4742,2025-04-01 11:29:58,2025-04-01 12:07:58,2025-04-01,완료,4
164,19,1370,2025-05-07 14:52:23,2025-05-07 15:21:23,2025-05-07,이관,3
165,16,2496,2025-08-21 12:02:59,2025-08-21 12:41:59,2025-08-21,이관,4
166,12,3611,2025-01-01 14:23:44,2025-01-01 14:44:44,2025-01-01,보류,5
167,5,2451,2025-01-07 11:49:28,2025-01-07 12:09:28,2025-01-07,완료,3
168,20,166,2025-06-25 13:14:55,2025-06-25 13:28:55,2025-06-25,이관,3
169,2,4554,2025-02-07 13:39:41,2025-02-07 14:18:41,2025-02-07,반려,3
170,18,2888,2025-06-20 13:25:13,2025-06-20 13:39:13,2025-06-20,이관,4
171,18,2532,2025-07-17 14:14:53,2025-07-17 14:43:53,2025-07-17,반려,5
172,10,4894,2025-08-15 13:54:59,2025-08-15 14:12:59,2025-08-15,이관,4
173,7,4999,2025-07-01 15:16:35,2025-07-01 15:42:35,2025-07-01,이관,5
174,13,4524,2025-03-10 14:43:13,2025-03-10 14:51:13,2025-03-10,보류,3
175,4,1575,2025-01-08 16:33:14,2025-01-08 17:13:14,2025-01-08,반려,3
176,17,2134,2025-05-07 13:27:02,2025-05-07 14:05:02,2025-05-07,보류,4
177,15,3054,2025-07-11 15:41:33,2025-07-11 16:10:33,2025-07-11,보류,3
178,18,4521,2025-07-14 13:14:52,2025-07-14 13:41:52,2025-07-14,반려,5
179,16,3539,2025-07-30 13:36:41,2025-07-30 13:43:41,2025-07-30,완료,4
180,4,4189,2025-05-26 13:27:06,2025-05-26 13:58:06,2025-05-26,반려,3
181,11,2529,2025-03-03 13:14:25,2025-03-03 13:22:25,2025-03-03,완료,3
182,17,3848,2025-06-05 13:05:02,2025-06-05 13:23:02,2025-06-05,보류,5
183,8,1521,2025-02-05 10:36:18,2025-02-05 10:41:18,2025-02-05,반려,5
184,3,4375,2025-05-05 14:11:51,2025-05-05 14:22:51,2025-05-05,반려,5
185,20,2751,2025-06-19 15:23:46,2025-06-19 15:29:46,2025-06-19,반려,5
186,10,2386,2025-04-18 15:43:52,2025-04-18 16:09:52,2025-04-18,완료,4
187,19,4519,2025-07-14 13:34:33,2025-07-14 13:44:33,2025-07-14,완료,3
188,7,249,2025-04-03 15:26:36,2025-04-03 15:40:36,2025-04-03,보류,5
189,10,170,2025-02-07 17:21:23,2025-02-07 17:56:23,2025-02-07,보류,4
190,14,3521,2025-06-11 16:14:53,2025-06-11 16:25:53,2025-06-11,이관,5
191,14,1246,2025-07-25 15:28:49,2025-07-25 15:49:49,2025-07-25,이관,3
192,19,68,2025-07-24 13:47:58,2025-07-24 14:27:58,2025-07-24,반려,4
193,7,2579,2025-05-06 14:40:10,2025-05-06 15:12:10,2025-05-06,보류,3
194,2,2689,2025-03-25 15:09:41,2025-03-25 15:26:41,2025-03-25,보류,4
195,16,4090,2025-03-13 12:56:13,2025-03-13 13:31:13,2025-03-13,반려,3
196,15,4082,2025-08-19 13:09:59,2025-08-19 13:31:59,2025-08-19,반려,5
197,7,4514,2025-04-10 14:43:59,2025-04-10 15:12:59,2025-04-10,이관,5
198,18,788,2025-04-21 15:01:19,2025-04-21 15:21:19,2025-04-21,반려,3
199,4,3161,2025-07-21 15:32:14,2025-07-21 16:08:14,2025-07-21,완료,3
200,18,1034,2025-02-13 17:45:13,2025-02-13 18:24:13,2025-02-13,이관,3
201,10,1566,2025-08-19 13:46:35,2025-08-19 13:59:35,2025-08-19,완료,3
202,2,1211,2025-03-04 16:21:53,2025-03-04 16:50:53,2025-03-04,이관,5
203,10,8,2025-04-28 12:22:18,2025-04-28 12:54:18,2025-04-28,이관,3
204,13,4562,2025-01-20 10:09:22,2025-01-20 10:25:22,2025-01-20,보류,3
205,18,3678,2025-01-02 11:35:32,2025-01-02 11:54:32,2025-01-02,반려,4
206,15,4316,2025-03-14 13:08:47,2025-03-14 13:45:47,2025-03-14,보류,4
207,15,3776,2025-05-08 13:23:22,2025-05-08 13:52:22,2025-05-08,완료,4
208,4,4617,2025-07-29 13:18:31,2025-07-29 13:34:31,2025-07-29,보류,4
209,16,3203,2025-06-18 14:41:48,2025-06-18 15:12:48,2025-06-18,완료,5
210,17,1956,2025-04-15 15:30:16,2025-04-15 15:41:16,2025-04-15,반려,5
211,10,4816,2025-07-30 09:53:30,2025-07-30 10:26:30,2025-07-30,보류,5
212,9,1802,2025-05-30 09:51:09,2025-05-30 10:19:09,2025-05-30,완료,3
213,10,4867,2025-03-14 11:07:34,2025-03-14 11:18:34,2025-03-14,보류,4
214,20,2607,2025-02-19 17:11:29,2025-02-19 17:23:29,2025-02-19,완료,4
215,15,4233,2025-05-01 13:57:02,2025-05-01 14:17:02,2025-05-01,완료,4
216,13,1689,2025-02-05 15:21:43,2025-02-05 15:55:43,2025-02-05,반려,3
217,7,3574,2025-05-22 11:08:47,2025-05-22 11:39:47,2025-05-22,보류,4
218,4,4639,2025-02-06 17:37:03,2025-02-06 18:04:03,2025-02-06,반려,5
219,6,4390,2025-05-20 17:46:31,2025-05-20 17:58:31,2025-05-20,보류,4
220,1,1082,2025-02-19 17:58:40,2025-02-19 18:15:40,2025-02-19,이관,3
221,13,1413,2025-02-27 13:58:00,2025-02-27 14:28:00,2025-02-27,보류,4
222,17,3984,2025-05-26 15:02:26,2025-05-26 15:27:26,2025-05-26,보류,5
223,20,4246,2025-08-05 17:18:37,2025-08-05 17:48:37,2025-08-05,보류,5
224,3,1591,2025-01-28 16:12:05,2025-01-28 16:31:05,2025-01-28,완료,4
225,10,2382,2025-05-12 17:12:29,2025-05-12 17:48:29,2025-05-12,이관,4
226,7,3033,2025-02-06 16:38:49,2025-02-06 16:57:49,2025-02-06,반려,5
227,1,3624,2025-06-06 14:06:16,2025-06-06 14:36:16,2025-06-06,이관,5
228,12,1132,2025-01-14 15:33:59,2025-01-14 16:13:59,2025-01-14,반려,3
229,20,3697,2025-07-25 16:19:59,2025-07-25 16:48:59,2025-07-25,반려,4
230,11,2113,2025-02-21 14:16:35,2025-02-21 14:28:35,2025-02-21,보류,5
231,13,2809,2025-03-11 12:33:14,2025-03-11 12:43:14,2025-03-11,보류,4
232,19,3779,2025-08-07 11:49:36,2025-08-07 12:22:36,2025-08-07,반려,3
233,9,4006,2025-01-27 14:35:39,2025-01-27 14:41:39,2025-01-27,보류,4
234,3,3460,2025-06-09 15:09:39,2025-06-09 15:43:39,2025-06-09,완료,4
235,8,2729,2025-06-19 13:44:41,2025-06-19 14:23:41,2025-06-19,보류,4
236,17,281,2025-05-08 13:16:30,2025-05-08 13:34:30,2025-05-08,완료,4
237,8,4094,2025-04-09 14:18:28,2025-04-09 14:42:28,2025-04-09,완료,3
238,10,4390,2025-04-29 15:46:29,2025-04-29 15:52:29,2025-04-29,완료,5
239,20,2024,2025-07-03 14:51:49,2025-07-03 15:02:49,2025-07-03,반려,3
240,6,4534,2025-06-06 14:49:07,2025-06-06 15:26:07,2025-06-06,반려,4
241,15,1227,2025-04-04 15:26:13,2025-04-04 16:05:13,2025-04-04,이관,5
242,12,4439,2025-01-03 16:41:47,2025-01-03 17:05:47,2025-01-03,완료,3
243,5,3553,2025-03-07 11:20:25,2025-03-07 12:02:25,2025-03-07,반려,5
244,2,31,2025-06-20 09:04:22,2025-06-20 09:12:22,2025-06-20,이관,3
245,6,223,2025-07-23 14:15:19,2025-07-23 14:32:19,2025-07-23,이관,5
246,3,4949,2025-03-24 13:17:06,2025-03-24 13:23:06,2025-03-24,이관,3
247,7,1243,2025-04-23 09:31:33,2025-04-23 09:47:33,2025-04-23,보류,5
248,19,3616,2025-08-12 09:38:16,2025-08-12 10:04:16,2025-08-12,이관,5
249,20,1015,2025-01-27 13:57:09,2025-01-27 14:33:09,2025-01-27,완료,4
250,14,1328,2025-04-22 15:59:03,2025-04-22 16:10:03,2025-04-22,반려,5
251,9,4408,2025-07-14 14:36:34,2025-07-14 15:04:34,2025-07-14,보류,5
252,14,4525,2025-03-13 14:39:30,2025-03-13 15:21:30,2025-03-13,이관,5
253,14,4434,2025-07-01 14:51:47,2025-07-01 15:19:47,2025-07-01,이관,4
254,9,2118,2025-03-12 14:54:11,2025-03-12 15:09:11,2025-03-12,보류,4
255,3,911,2025-03-17 15:07:37,2025-03-17 15:42:37,2025-03-17,완료,5
256,6,946,2025-01-02 14:40:16,2025-01-02 15:14:16,2025-01-02,이관,3
257,19,589,2025-05-23 13:17:19,2025-05-23 13:34:19,2025-05-23,이관,3
258,20,1958,2025-02-19 12:36:30,2025-02-19 13:09:30,2025-02-19,보류,3
259,1,1980,2025-06-23 14:19:23,2025-06-23 14:47:23,2025-06-23,보류,5
260,4,3685,2025-02-24 14:54:19,2025-02-24 15:11:19,2025-02-24,반려,4
261,16,4204,2025-04-28 10:33:40,2025-04-28 11:12:40,2025-04-28,이관,3
262,2,2899,2025-03-18 14:22:56,2025-03-18 15:00:56,2025-03-18,반려,5
263,17,1312,2025-06-05 15:30:58,2025-06-05 15:36:58,2025-06-05,반려,5
264,10,1265,2025-03-19 13:14:24,2025-03-19 13:52:24,2025-03-19,반려,3
265,5,1639,2025-07-07 14:39:06,2025-07-07 14:49:06,2025-07-07,반려,3
266,7,590,2025-04-25 11:55:30,2025-04-25 12:30:30,2025-04-25,완료,4
267,15,3945,2025-08-11 13:40:22,2025-08-11 14:09:22,2025-08-11,보류,4
268,15,2622,2025-08-05 13:28:04,2025-08-05 14:02:04,2025-08-05,완료,5
269,16,3003,2025-03-25 15:10:54,2025-03-25 15:28:54,2025-03-25,반려,4
270,18,4229,2025-04-28 14:55:01,2025-04-28 15:33:01,2025-04-28,이관,5
271,4,2913,2025-03-17 10:05:08,2025-03-17 10:22:08,2025-03-17,반려,3
272,2,536,2025-01-14 14:30:15,2025-01-14 14:39:15,2025-01-14,완료,5
273,4,1682,2025-06-05 13:40:48,2025-06-05 14:22:48,2025-06-05,보류,4
274,11,4341,2025-03-17 17:50:09,2025-03-17 18:13:09,2025-03-17,완료,3
275,7,679,2025-02-12 13:22:15,2025-02-12 13:29:15,2025-02-12,완료,3
276,18,2061,2025-06-02 09:13:31,2025-06-02 09:21:31,2025-06-02,완료,4
277,4,4643,2025-08-19 15:01:55,2025-08-19 15:31:55,2025-08-19,보류,3
278,17,3583,2025-01-09 14:00:22,2025-01-09 14:37:22,2025-01-09,반려,4
279,14,2540,2025-04-03 15:30:46,2025-04-03 16:04:46,2025-04-03,이관,5
280,15,775,2025-03-11 14:14:31,2025-03-11 14:28:31,2025-03-11,보류,4
281,9,680,2025-04-09 12:02:29,2025-04-09 12:15:29,2025-04-09,완료,3
282,8,3067,2025-04-18 14:16:19,2025-04-18 14:35:19,2025-04-18,반려,4
283,16,1506,2025-07-02 15:21:21,2025-07-02 15:53:21,2025-07-02,반려,5
284,1,289,2025-06-09 10:21:27,2025-06-09 10:41:27,2025-06-09,이관,4
285,9,3534,2025-02-18 15:04:40,2025-02-18 15:09:40,2025-02-18,보류,5
286,18,2512,2025-07-02 15:15:18,2025-07-02 15:58:18,2025-07-02,보류,3
287,17,3299,2025-05-22 09:52:04,2025-05-22 10:23:04,2025-05-22,완료,4
288,9,4492,2025-04-09 14:00:03,2025-04-09 14:23:03,2025-04-09,보류,5
289,15,1507,2025-05-30 09:59:38,2025-05-30 10:09:38,2025-05-30,이관,3
290,17,4745,2025-05-30 15:48:19,2025-05-30 16:13:19,2025-05-30,완료,5
291,9,4033,2025-06-05 14:49:48,2025-06-05 15:06:48,2025-06-05,반려,3
292,5,2887,2025-04-17 11:58:36,2025-04-17 12:30:36,2025-04-17,반려,4
293,5,396,2025-03-20 15:34:10,2025-03-20 15:51:10,2025-03-20,이관,5
294,1,2794,2025-03-19 11:20:31,2025-03-19 11:33:31,2025-03-19,보류,4
295,4,2800,2025-08-22 15:37:24,2025-08-22 15:51:24,2025-08-22,보류,3
296,20,3100,2025-03-27 15:34:51,2025-03-27 15:45:51,2025-03-27,완료,3
297,20,2574,2025-06-02 13:50:14,2025-06-02 14:23:14,2025-06-02,보류,5
298,9,4588,2025-04-11 13:23:34,2025-04-11 14:00:34,2025-04-11,반려,5
299,9,395,2025-07-04 13:19:48,2025-07-04 14:03:48,2025-07-04,보류,5
300,10,1541,2025-08-21 15:18:00,2025-08-21 15:29:00,2025-08-21,반려,3
301,5,2695,2025-04-03 15:37:01,2025-04-03 15:51:01,2025-04-03,보류,3
302,20,1080,2025-03-26 15:13:42,2025-03-26 15:52:42,2025-03-26,보류,5
303,19,1223,2025-06-25 14:47:07,2025-06-25 15:20:07,2025-06-25,완료,5
304,14,4755,2025-05-28 17:57:08,2025-05-28 18:20:08,2025-05-28,완료,3
305,4,2597,2025-05-07 16:21:06,2025-05-07 16:33:06,2025-05-07,이관,5
306,10,592,2025-08-07 14:17:48,2025-08-07 14:46:48,2025-08-07,완료,3
307,15,2639,2025-05-26 09:41:48,2025-05-26 10:21:48,2025-05-26,반려,5
308,13,4166,2025-06-06 15:19:40,2025-06-06 15:52:40,2025-06-06,완료,4
309,10,3016,2025-05-21 13:35:16,2025-05-21 13:55:16,2025-05-21,이관,5
310,8,3827,2025-01-03 10:50:13,2025-01-03 11:30:13,2025-01-03,보류,3
